Columna,Significado,Notas,Tipo de dato,Unnamed: 4
UID,Player id,,int64,
Inf,Players current situation,,object,
Name,,,object,
DoB,Date of Birth,,object,
Nat,Nationality,,object,
Division,Liga en la que juega su equipo,,object,
Club,Equipo en el que juega,,object,
Based,Pa�s y liga en la que juega,,object,
Preferred Foot,,,object,
Right Foot,Fortaleza/habilidad con el pie derecho,,object,
Left Foot,Fortaleza/habilidad con el pie izquierdo,,object,
Position,,,object,
Height,Altura,En centimetros,object,
Weight,Peso,En kilogramos,object,
Age,,,int64,
Transfer Value,Valor de transferencia,Es un rango; esta en euros,object,
Wage,Salario,En euros al mes,int64,
AT Apps,All time Appearances,,object,
AT Gls,All time goals,,object,
Team,,,object,
Caps,Capitanias con selecci�n,,int64,
Yth Apps,Youth team Appearances,,int64,
Style,,,object,
Rc Injury,Recurring injury,,object,
Best Role,,,object,
Best Duty,,,object,
Best Pos,,,object,
Acc,Acceleration,,int64,
Aer,Aerial Reach,Habilidad de portero,int64,
Agg,Aggression,,int64,
Agi,Agility,,int64,
Ant,Anticipation,,int64,
Bal,Balance,,int64,
Bra,Bravery,,int64,
Cmd,Command of Area,Habilidad de portero,int64,
Com,Communication,Habilidad de portero,int64,
Cmp,Composure,,int64,
Cnt,Concentration,,int64,
Cor,Corners,,int64,
Cro,Crossing,,int64,
Dec,Decisions,,int64,
Det,Determination,,int64,
Dri,Dribbling,,int64,
Ecc,Eccentricity,Habilidad de portero,int64,
Fin,Finishing,,int64,
Fir,First Touch,Habilidad de portero,int64,
Fla,Flair,,int64,
Fre,Free kick taking,,int64,
Han,Handling,Habilidad de portero,int64,
Hea,Heading,,int64,
Jum,Jumping Reach,,int64,
Kic,Kicking,Habilidad de portero,int64,
Ldr,Leadership,,int64,
Lon,Long shots,,int64,
L Th,Long Throws,,int64,
Mar,Marking,,int64,
Nat .1,*Natural fitness,,int64,
OtB,Off the ball,,int64,
1v1,One on Ones,Habilidad de portero,int64,
Pac,Pace,,int64,
Pas,Passing,Habilidad de portero,int64,
Pen,Penalty Taking,,int64,
Pos,Positioning,,int64,
Pun,Tendency to Punch,Habilidad de portero,int64,
Ref,Reflexes,Habilidad de portero,int64,
TRO,Tendency to Rush Out,Habilidad de portero,int64,
Sta,Stamina,,int64,
Str,Strength,,int64,
Tck,Tackling,,int64,
Tea,Teamwork,,int64,
Tec,Technique,,int64,
Thr,Throwing,Habilidad de portero,int64,
Vis,Vision,,int64,
Wor,Work rate,,int64,
